Source,Target,Weight,Type
Sochi,Zenit Saint Petersburg,12,Directed
Genclerbirligi,Hacettepe,10,Directed
Udinese Calcio,Watford,10,Directed
Krylya Sovetov Samara,Spartak Moscow,9,Directed
Volos FC,PAOK,9,Directed
ESTAC Troyes,Manchester City,8,Directed
Genoa,Inter Milan,8,Directed
Genoa,Juventus,8,Directed
Hellas Verona,Genoa,8,Directed
Basaksehir,Fenerbahce,7,Directed
Hellas Verona,Atalanta BC,7,Directed
Spezia Calcio,Atalanta BC,7,Directed
Watford,Udinese Calcio,7,Directed
Arsenal Tula,Rubin Kazan,6,Directed
Fatih Karagümrük,Fenerbahce,6,Directed
Hellas Verona,AC Fiorentina,6,Directed
Hellas Verona,Sampdoria,6,Directed
Hellas Verona,Udinese Calcio,6,Directed
Khimki,Rostov,6,Directed
Konyaspor,1922 Konya,6,Directed
Millwall FC,Derby County,6,Directed
1.FSV Mainz 05,Eintracht Frankfurt,5,Directed
AC Fiorentina,US Sassuolo,5,Directed
AE Larisa,Olympiacos,5,Directed
AS Roma,Atalanta BC,5,Directed
Aris Thessaloniki,Olympiacos,5,Directed
Atalanta BC,Juventus,5,Directed
Cádiz CF,Real Valladolid,5,Directed
FC Twente,FC Utrecht,5,Directed
Genoa,Atalanta BC,5,Directed
Granada CF,Recre Granada,5,Directed
Khimki,Spartak Moscow,5,Directed
Krylya Sovetov Samara,Sochi,5,Directed
OFI Crete FC,PAOK,5,Directed
Olympiacos,Nottingham Forest,5,Directed
Olympique Marseille,AS Roma,5,Directed
Olympique Marseille,Arsenal,5,Directed
Pendikspor,Eyüpspor,5,Directed
Rio Ave FC,Sporting CP,5,Directed
Rubin Kazan,Rostov,5,Directed
Spartak Moscow,Krylya Sovetov Samara,5,Directed
Spezia Calcio,Genoa,5,Directed
Trabzonspor,1461 Trabzon,5,Directed
Volos FC,AO Xanthi,5,Directed
Ümraniyespor,Eyüpspor,5,Directed
1. FC Union Berlin,SC Freiburg,4,Directed
AC Milan,Chelsea FC,4,Directed
AC Monza,Inter Milan,4,Directed
AO Xanthi,PAOK,4,Directed
Adana Demirspor,Trabzonspor,4,Directed
Akhmat Grozny,Khimki,4,Directed
Akhmat Grozny,Spartak Moscow,4,Directed
Akhmat Grozny,Ufa,4,Directed
Alanyaspor,Kasimpasa,4,Directed
Arsenal Tula,Spartak Moscow,4,Directed
Atromitos,Olympiacos,4,Directed
BB Erzurumspor,Malatyaspor,4,Directed
Besiktas JK,Alanyaspor,4,Directed
Besiktas JK,Sporting CP,4,Directed
Birmingham City,Manchester United,4,Directed
CD Leganés,Sevilla FC,4,Directed
Cagliari,AC Fiorentina,4,Directed
Cagliari,Inter Milan,4,Directed
Caykur Rizespor,Basaksehir,4,Directed
Caykur Rizespor,Fenerbahce,4,Directed
Eintracht Frankfurt,AC Milan,4,Directed
Empoli FC,Atalanta BC,4,Directed
Empoli FC,Cagliari,4,Directed
FC Famalicão,Wolverhampton Wanderers,4,Directed
FC Paços de Ferreira,Atlético-MG,4,Directed
Fatih Karagümrük,Besiktas JK,4,Directed
Fatih Karagümrük,Galatasaray,4,Directed
Fenerbahce,Olympique Marseille,4,Directed
Fulham FC,Brighton & Hove Albion,4,Directed
Gaziantep FK,Basaksehir,4,Directed
Gaziantep FK,Genclerbirligi,4,Directed
Genoa,US Sassuolo,4,Directed
Getafe,FC Barcelona,4,Directed
Gil Vicente FC,SC Braga,4,Directed
Giresunspor,Trabzonspor,4,Directed
Granada CF,Watford,4,Directed
Hellas Verona,US Sassuolo,4,Directed
Hull City,Fenerbahce,4,Directed
Inter Milan,Genoa,4,Directed
Inter Milan,Manchester United,4,Directed
Juventus,Paris Saint-Germain,4,Directed
Krylya Sovetov Samara,Chertanovo,4,Directed
Krylya Sovetov Samara,Dolgoprudnyi,4,Directed
Luton Town,Aston Villa,4,Directed
Marítimo,Cruzeiro,4,Directed
Middlesbrough FC,Manchester City,4,Directed
Moreirense FC,SC Braga,4,Directed
Nottingham Forest,Manchester United,4,Directed
Nottingham Forest,Olympiacos,4,Directed
Parma Calcio,Inter Milan,4,Directed
Parma Calcio,Pescara,4,Directed
Parma Calcio,SSC Napoli,4,Directed
Portimonense SC,FC Porto,4,Directed
Queens Park Rangers,West Bromwich Albion,4,Directed
RC Lens,Toulouse,4,Directed
RC Strasbourg Alsace,Aston Villa,4,Directed
RKC Waalwijk,RSC Anderlecht,4,Directed
Reading FC,Chelsea FC,4,Directed
Real Valladolid,Real Madrid,4,Directed
Rostov,Loko-Kazanka M.,4,Directed
Rotor Volgograd,FC Astana,4,Directed
Rotor Volgograd,Rubin Kazan,4,Directed
Rubin Kazan,Lokomotiv Moscow,4,Directed
SPAL,Atalanta BC,4,Directed
SS Lazio,Hellas Verona,4,Directed
Sampdoria,Chievo Verona,4,Directed
Sampdoria,Inter Milan,4,Directed
Sampdoria,Juventus,4,Directed
Sampdoria,SSC Napoli,4,Directed
Sochi,FC Tver,4,Directed
Sochi,Orenburg,4,Directed
Sparta Rotterdam,ADO Den Haag,4,Directed
Spezia Calcio,AC Fiorentina,4,Directed
Spezia Calcio,US Sassuolo,4,Directed
Stade Brestois 29,AS Monaco,4,Directed
Stade Brestois 29,Stade Rennais FC,4,Directed
Stoke City,Aston Villa,4,Directed
Swansea City,Bristol City,4,Directed
TSG 1899 Hoffenheim,Schalke 04,4,Directed
Tambov,Dynamo Moscow,4,Directed
Torino FC,Sampdoria,4,Directed
Trabzonspor,Kasimpasa,4,Directed
US Sassuolo,AS Roma,4,Directed
US Sassuolo,Empoli FC,4,Directed
Udinese Calcio,Hellas Verona,4,Directed
Ural Yekaterinburg,Dynamo Moscow,4,Directed
Ural Yekaterinburg,Rubin Kazan,4,Directed
Villarreal CF,Tottenham Hotspur,4,Directed
Volos FC,Aris Saloniki,4,Directed
1. FC Köln,Hannover 96,3,Directed
1. FC Union Berlin,FC Augsburg,3,Directed
1. FC Union Berlin,Liverpool FC,3,Directed
1. FC Union Berlin,SpVgg Greuther Fürth,3,Directed
1. FC Union Berlin,VfL Wolfsburg,3,Directed
AC Fiorentina,Genoa,3,Directed
AC Fiorentina,Hellas Verona,3,Directed
AC Fiorentina,SSC Napoli,3,Directed
AC Milan,Real Madrid,3,Directed
AC Monza,Atalanta BC,3,Directed
ADO Den Haag,PSV Eindhoven,3,Directed
AEK Athens,Volos FC,3,Directed
APO Levadiakos,Panathinaikos,3,Directed
AS Roma,Arsenal,3,Directed
AS Roma,Chelsea FC,3,Directed
AS Roma,Manchester United,3,Directed
Adana Demirspor,Bayrampasa,3,Directed
Adana Demirspor,Caykur Rizespor,3,Directed
Adana Demirspor,Galatasaray,3,Directed
Ajax,Sevilla FC,3,Directed
Akhmat Grozny,Anzhi,3,Directed
Akhmat Grozny,Soligorsk,3,Directed
Alanyaspor,Besiktas JK,3,Directed
Alanyaspor,Bursaspor,3,Directed
Alanyaspor,SC Braga,3,Directed
Alanyaspor,Vitória SC,3,Directed
Angers SCO,Nîmes Olympique,3,Directed
Antalyaspor,Basaksehir,3,Directed
Apollon Smyrnis,Panetolikos,3,Directed
Arsenal,Brighton & Hove Albion,3,Directed
Arsenal,Chelsea FC,3,Directed
Arsenal,Real Madrid,3,Directed
Arsenal Tula,Krasnodar,3,Directed
Asteras Tripolis,PAS Giannina,3,Directed
Aston Villa,Southampton FC,3,Directed
Atalanta BC,Sevilla FC,3,Directed
Atlético Madrid,FC Barcelona,3,Directed
Atlético Madrid,Tottenham Hotspur,3,Directed
Bayern Munich,Ajax,3,Directed
Besiktas JK,Everton,3,Directed
Besiktas JK,Leicester City,3,Directed
Birmingham City,Aston Villa,3,Directed
Blackburn Rovers,Middlesbrough FC,3,Directed
Boavista FC,CD Tondela,3,Directed
Boavista FC,SL Benfica,3,Directed
CA Osasuna,Atlético Madrid,3,Directed
CA Osasuna,Getafe,3,Directed
CA Osasuna,Villarreal CF,3,Directed
Cagliari,Atalanta BC,3,Directed
Cagliari,Juventus,3,Directed
Cagliari,SSC Napoli,3,Directed
Cardiff City,Bristol City,3,Directed
Cardiff City,Liverpool FC,3,Directed
Cardiff City,West Bromwich Albion,3,Directed
Celta de Vigo,FC Barcelona,3,Directed
Celta de Vigo,SL Benfica,3,Directed
Coventry City,Brighton & Hove Albion,3,Directed
Cádiz CF,Girona FC,3,Directed
Cádiz CF,Real Madrid,3,Directed
Denizlispor,Alanyaspor,3,Directed
Denizlispor,Trabzonspor,3,Directed
Deportivo Alavés,Newcastle United,3,Directed
Elche CF,Girona FC,3,Directed
Elche CF,Málaga CF,3,Directed
Elche CF,Real Valladolid,3,Directed
Empoli FC,Sampdoria,3,Directed
FC Augsburg,Hertha BSC,3,Directed
FC Augsburg,VfL Wolfsburg,3,Directed
FC Barcelona,Manchester City,3,Directed
FC Famalicão,FC Porto,3,Directed
FC Famalicão,SC Braga,3,Directed
FC Famalicão,SL Benfica,3,Directed
FC Metz,AS Monaco,3,Directed
FC Metz,Génération Foot,3,Directed
FC Nantes,Guingamp,3,Directed
